OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
456,28312,342.0,3.0,18419,Fayetteville,,185.677832672784,4341373681.0871,556260.336471475
457,28314,1040.0,9.0,53642,Fayetteville,,193.877931471608,816473670.87677,185615.29020179
458,28315,333.0,7.0,13329,Aberdeen,,249.83119513842,2049308469.85626,494397.056686911
459,28318,107.0,1.0,4579,Autryville,,233.67547499454,2217851356.83313,372935.466158955
460,28320,178.0,1.0,9381,Bladenboro,,189.745229719646,3248490168.58801,381864.201698899
461,28323,85.0,0.0,4578,Bunnlevel,,185.670598514635,1112191308.33496,301931.807656215
462,28326,313.0,2.0,22382,Cameron,,139.844517916183,3242119864.63824,488036.1730633
463,28327,348.0,2.0,18273,Carthage,,190.444918732556,5396542091.08795,586939.342565835
464,28328,1270.0,18.0,26951,Clinton,,471.225557493228,6810728499.67102,657248.933701038
465,28333,472.0,9.0,10709,Dudley,,440.750770380054,1249687746.85376,213915.020571421
466,28334,731.0,8.0,26215,Dunn,,278.847987793248,4497238669.98419,544402.158241248
467,28337,327.0,9.0,11927,Elizabethtown,,274.167854447891,5069041872.41577,577770.225904475
468,28338,119.0,3.0,4804,Ellerbe,,247.710241465445,3935542448.08881,492508.044174153
469,28339,178.0,3.0,7226,Erwin,,246.332687517299,1064553458.41333,310656.999787592
470,28340,502.0,19.0,10738,Fairmont,,467.498603091823,3757196814.59872,450516.228420329
471,28341,251.0,2.0,5080,Faison,,494.094488188976,2787115249.34564,421094.619116887
472,28343,53.0,1.0,1567,Gibson,,338.225909380983,458723474.164063,106909.663733147
473,28344,120.0,1.0,3814,Godwin,,314.630309386471,1128755315.22852,269142.265002464
474,28345,363.0,7.0,12656,Hamlet,,286.820480404551,2126402412.95966,332606.523883072
475,28347,90.0,0.0,1826,Hoffman,,492.880613362541,747268691.675964,194334.44204749
476,28348,733.0,8.0,36052,Hope Mills,,203.317430378342,1166315651.14276,329846.853315969
477,28349,169.0,12.0,3955,Kenansville,,427.307206068268,1959246504.78113,326624.538750416
478,28350,9.0,0.0,70,Lakeview,,1285.71428571429,7876659.25891113,11657.1581787366
479,28351,120.0,0.0,5269,Laurel Hill,,227.747200607326,1788599136.13666,386362.394376361
480,28352,1216.0,17.0,25298,Laurinburg,,480.670408727963,3264782876.16284,438869.872406896
481,28356,80.0,3.0,4914,Linden,,162.800162800163,1497885580.84283,286294.988335977
482,28357,78.0,1.0,3224,Lumber Bridge,,241.935483870968,998095899.747498,200973.924425577
483,28358,1572.0,28.0,38517,Lumberton,,408.131474413895,5499536726.32037,504386.804277589
484,28360,641.0,6.0,14944,Lumberton,,428.934689507495,1985862696.58282,363920.117329658
485,28363,43.0,1.0,1079,Marston,,398.517145505097,1736455559.11224,383927.716730152
486,28364,496.0,7.0,15170,Maxton,,326.961107448912,3845135736.01221,464303.223304611
487,28365,729.0,19.0,17063,Mount Olive,,427.240227392604,5449867058.99634,617077.136427741
488,28366,198.0,2.0,5153,Newton Grove,,384.242189016107,2293381130.24042,414618.719505341
489,28369,74.0,1.0,2241,Orrum,,330.209727800089,1800121585.61136,401393.305842191
490,28371,141.0,3.0,7085,Parkton,,199.011997177135,1005950088.08063,229991.086519014
491,28372,615.0,4.0,15254,Pembroke,,403.172938245706,1147770145.91595,255857.280522167
492,28373,50.0,1.0,2552,Pinebluff,,195.924764890282,460329066.992676,140223.621385681
493,28374,279.0,9.0,18171,Pinehurst,,153.541357107479,609888351.153748,186776.563275303
494,28375,,,155,Proctorville,Population <500 and Cases <5,,16154829.5779114,21293.1141646593
495,28376,1167.0,18.0,43831,Raeford,,266.249914444115,8255601209.37079,618028.253174215
496,28377,554.0,12.0,13036,Red Springs,,424.976986805769,2872865768.25568,446034.002241504
497,28379,664.0,14.0,25804,Rockingham,,257.324445822353,4156662320.34821,486165.084209016
498,28382,175.0,1.0,8006,Roseboro,,218.586060454659,3525739741.42773,652666.741452106
499,28383,302.0,2.0,7713,Rowland,,391.54673927136,2904453853.97415,460017.981876533
500,28384,523.0,4.0,12414,Saint Pauls,,421.298533913324,2850567240.80182,480450.415018018
501,28385,93.0,0.0,3005,Salemburg,,309.484193011647,1040463355.97156,321938.125650219
502,28386,370.0,6.0,6068,Shannon,,609.756097560976,1134602512.8537,354913.796549299
503,28387,358.0,6.0,17139,Southern Pines,,208.8803314079,810260751.658813,181010.127281146
504,28390,350.0,6.0,23494,Spring Lake,,148.974206180301,1630867413.08136,287302.836124697
505,28391,86.0,0.0,5326,Stedman,,161.472024033045,1084470955.12604,202263.555324582
506,28392,61.0,1.0,1554,Tar Heel,,392.535392535393,925384379.987671,187529.786563955
507,28393,88.0,1.0,2160,Turkey,,407.407407407407,1437383838.7915,233550.655699493
508,28394,82.0,2.0,6094,Vass,,134.558582212012,1215312777.16113,300186.221923817
509,28395,41.0,0.0,2657,Wade,,154.309371471584,1382105528.22943,246616.208913961
510,28396,76.0,2.0,2679,Wagram,,283.687943262411,1631714382.90094,330475.243709585
511,28398,376.0,9.0,7672,Warsaw,,490.093847758081,2739435952.33466,345606.723026117
512,28399,72.0,1.0,1934,White Oak,,372.285418821096,2338498223.40869,308489.981388208
513,28401,534.0,10.0,24213,Wilmington,,220.542683682319,925590291.269562,302995.405207511
514,28403,1285.0,4.0,41945,Wilmington,,306.353558231017,403456249.54361,135103.298695973
515,28405,706.0,4.0,33719,Wilmington,,209.377502298407,694443662.189972,212896.044608315
516,28409,579.0,6.0,34974,Wilmington,,165.551552581918,678530052.059952,626246.018361276
517,28411,633.0,5.0,38820,Wilmington,,163.06027820711,1477023573.08954,591854.549770877
518,28412,680.0,7.0,42977,Wilmington,,158.224166414594,635947452.301941,245813.217862995
519,28420,106.0,1.0,5116,Ash,,207.193119624707,4030119174.4476,622951.504256467
520,28421,24.0,0.0,2040,Atkinson,,117.647058823529,1701084244.28595,246250.995159075
521,28422,109.0,7.0,8682,Bolivia,,125.547108961069,2520456183.00197,406510.949073508
522,28423,67.0,1.0,2285,Bolton,,293.216630196937,4327886518.67657,560706.23791653
523,28425,288.0,4.0,12625,Burgaw,,228.118811881188,4872852970.19843,522799.098840263
524,28428,125.0,0.0,7142,Carolina Beach,,175.021002520302,153392950.326767,131890.839899376
525,28429,118.0,0.0,8542,Castle Hayne,,138.14095059705,1146009267.92944,244578.64538817
526,28430,43.0,1.0,2055,Cerro Gordo,,209.245742092457,1294763521.80133,235369.368885516
527,28431,201.0,8.0,6741,Chadbourn,,298.175344904317,2019287633.59152,414968.282140326
528,28432,61.0,2.0,1684,Clarendon,,362.232779097387,913029717.719559,381140.327621417
529,28433,103.0,0.0,5297,Clarkton,,194.449688502926,3257754219.81824,497145.128049416
530,28434,21.0,0.0,1357,Council,,154.753131908622,2209417286.23001,262045.947095385
531,28435,37.0,0.0,2931,Currie,,126.236779256227,2746865502.37314,418800.327512466
532,28436,47.0,0.0,2312,Delco,,203.287197231834,1250613651.60083,304067.898737589
533,28438,38.0,1.0,1688,Evergreen,,225.118483412322,1324758692.31961,354385.951020837
534,28439,47.0,4.0,1536,Fair Bluff,,305.989583333333,667490225.496307,213264.007900786
535,28441,118.0,3.0,3328,Garland,,354.567307692308,3774857745.4223,555550.533903292
536,28442,57.0,1.0,1734,Hallsboro,,328.719723183391,1395074837.14975,336354.405393145
537,28443,368.0,1.0,22483,Hampstead,,163.679224302807,4337834719.99771,560208.032392264
538,28444,103.0,0.0,2278,Harrells,,452.151009657594,3251010335.70935,548979.732892781
539,28445,133.0,1.0,8142,Holly Ridge,,163.350528125768,2835470197.40424,676482.174744674
540,28447,76.0,0.0,1334,Ivanhoe,,569.715142428786,2755654733.91089,442226.920323366
541,28448,23.0,1.0,1216,Kelly,,189.144736842105,2360585218.26868,400674.523076971
542,28449,23.0,0.0,1958,Kure Beach,,117.466802860061,112229003.875305,80695.004584803
543,28450,76.0,6.0,2397,Lake Waccamaw,,317.06299541093,1482484363.39343,277199.450521116
544,28451,553.0,3.0,39194,Leland,,141.093024442517,5322314275.71591,771852.448618023
545,28452,20.0,0.0,513,Longwood,,389.863547758285,201031402.998276,76626.878203892
546,28453,325.0,6.0,4137,Magnolia,,785.593425187334,2286467269.94287,428957.863476439
547,28454,32.0,0.0,3549,Maple Hill,,90.1662440123979,3064407818.25446,319144.850869927
548,28455,54.0,2.0,1718,Nakina,,314.318975552969,1802269564.75485,339624.478895421
549,28456,121.0,1.0,3566,Riegelwood,,339.315759955132,1872158645.14374,368901.622022321
550,28457,257.0,3.0,12840,Rocky Point,,200.155763239875,3397895880.78387,551931.996451502
551,28458,319.0,6.0,7018,Rose Hill,,454.545454545455,3025757032.09851,549753.327973728
552,28460,207.0,1.0,10588,Sneads Ferry,,195.50434454099,868820245.916626,505270.66774661
553,28461,171.0,2.0,20575,Southport,,83.1105710814095,2976816159.44659,699193.3729383
554,28462,201.0,5.0,14309,Supply,,140.471032217486,3173815797.17624,578042.071238933
555,28463,313.0,18.0,9865,Tabor City,,317.28332488596,3441446535.6745,489113.866817469
556,28464,119.0,2.0,2491,Teachey,,477.719791248495,651873569.02948,216752.818849917
557,28465,64.0,0.0,8285,Oak Island,,77.2480386240193,278142792.540329,260764.452809295
558,28466,417.0,7.0,10375,Wallace,,401.927710843374,4134830722.40503,646652.750223625
559,28467,186.0,3.0,11393,Calabash,,163.25814096375,478052225.035095,182374.085490172
560,28468,66.0,1.0,5394,Sunset Beach,,122.358175750834,561581539.026329,281339.504069841
